Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,20
Horizontal Delay,0
Sample Interval,0.002
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.005
Vertical Position,2
,
,
,
Label,
TIME,CH3
-99.278,-0.0172
-99.276,-0.016
-99.274,-0.0168
-99.272,-0.0158
-99.27,-0.017
-99.268,-0.0174
-99.266,-0.016
-99.264,-0.0154
-99.262,-0.015
-99.26,-0.016
-99.258,-0.0152
-99.256,-0.0152
-99.254,-0.0168
-99.252,-0.016
-99.25,-0.0158
-99.248,-0.0158
-99.246,-0.0154
-99.244,-0.016
-99.242,-0.016
-99.24,-0.016
-99.238,-0.016
-99.236,-0.0154
-99.234,-0.0168
-99.232,-0.0158
-99.23,-0.016
-99.228,-0.0164
-99.226,-0.0154
-99.224,-0.0162
-99.222,-0.016
-99.22,-0.0158
-99.218,-0.0154
-99.216,-0.0152
-99.214,-0.0164
-99.212,-0.016
-99.21,-0.0156
-99.208,-0.0166
-99.206,-0.0162
-99.204,-0.015
-99.202,-0.0164
-99.2,-0.0164
-99.198,-0.0164
-99.196,-0.0168
-99.194,-0.0158
-99.192,-0.0158
-99.19,-0.0152
-99.188,-0.0166
-99.186,-0.0162
-99.184,-0.0162
-99.182,-0.0156
-99.18,-0.0156
-99.178,-0.0148
-99.176,-0.0146
-99.174,-0.0152
-99.172,-0.0162
-99.17,-0.0154
-99.168,-0.0148
-99.166,-0.018
-99.164,-0.0164
-99.162,-0.0158
-99.16,-0.0168
-99.158,-0.0156
-99.156,-0.0158
-99.154,-0.016
-99.152,-0.0156
-99.15,-0.0168
-99.148,-0.0158
-99.146,-0.0164
-99.144,-0.0164
-99.142,-0.0158
-99.14,-0.016
-99.138,-0.0154
-99.136,-0.0164
-99.134,-0.0146
-99.132,-0.015
-99.13,-0.016
-99.128,-0.0164
-99.126,-0.0154
-99.124,-0.0162
-99.122,-0.0162
-99.12,-0.0154
-99.118,-0.0162
-99.116,-0.0162
-99.114,-0.0156
-99.112,-0.0152
-99.11,-0.0156
-99.108,-0.016
-99.106,-0.0156
-99.104,-0.0158
-99.102,-0.016
-99.1,-0.0158
-99.098,-0.0164
-99.096,-0.0164
-99.094,-0.0152
-99.092,-0.015
-99.09,-0.0152
-99.088,-0.0158
-99.086,-0.0156
-99.084,-0.0154
-99.082,-0.0152
-99.08,-0.0148
-99.078,-0.0156
-99.076,-0.0158
-99.074,-0.016
-99.072,-0.0144
-99.07,-0.0152
-99.068,-0.0154
-99.066,-0.016
-99.064,-0.016
-99.062,-0.016
-99.06,-0.0154
-99.058,-0.0166
-99.056,-0.0158
-99.054,-0.016
-99.052,-0.0156
-99.05,-0.015
-99.048,-0.016
-99.046,-0.0152
-99.044,-0.0158
-99.042,-0.0156
-99.04,-0.016
-99.038,-0.0154
-99.036,-0.0158
-99.034,-0.0154
-99.032,-0.0158
-99.03,-0.0156
-99.028,-0.0148
-99.026,-0.0162
-99.024,-0.0146
-99.022,-0.0156
-99.02,-0.016
-99.018,-0.0156
-99.016,-0.0166
-99.014,-0.016
-99.012,-0.016
-99.01,-0.0158
-99.008,-0.015
-99.006,-0.0156
-99.004,-0.0154
-99.002,-0.016
-99,-0.0156
-98.998,-0.0154
-98.996,-0.016
-98.994,-0.0158
-98.992,-0.0162
